"type","begin_time","frequency","count","created with version","exported with version","project","last_name","first_name","born","sex","measurement_date","record_name"
"record","0.00000","2000","33640","Noraxon MR3 3.20.68","3.20.68","Kevin test","KEVIN","","","male","2025-07-17T16:09:36.565+08:00","EMG 2 channel recording-3"

"time","Activity","Marker","RT VMO (uV)","RT SEMITEND. (uV)"
0.21800,,,-3.993913423,2.438657364
0.21850,,,-3.0783302,3.659434994
0.21900,,,-2.467941385,4.880212625
0.21950,,,-3.383524608,4.880212625
0.22000,,,-4.909496646,3.964629402
0.22050,,,-4.909496646,4.26982381
0.22100,,,-3.383524608,5.795795848
0.22150,,,-2.162746977,7.016573479
0.22200,,,-2.162746977,7.321767887
0.22250,,,-2.773135793,7.321767887
0.22300,,,-2.467941385,7.626962295
0.22350,,,-1.857552569,7.321767887
0.22400,,,-1.247163754,6.100990256
0.22450,,,-1.857552569,5.185407033
0.22500,,,-2.467941385,5.185407033
0.22550,,,-2.467941385,4.575018218
0.22600,,,-1.857552569,4.26982381
0.22650,,,-1.247163754,4.575018218
0.22700,,,-1.247163754,5.795795848
0.22750,,,-1.247163754,6.100990256
0.22800,,,-0.6367749386,4.880212625
0.22850,,,0.5840026922,3.964629402
0.22900,,,1.499585915,3.964629402
0.22950,,,1.804780323,4.575018218
0.23000,,,2.109974731,4.26982381
0.23050,,,3.330752362,3.354240587
0.23100,,,3.941141177,2.438657364
0.23150,,,3.941141177,2.743851771
0.23200,,,3.330752362,3.964629402
0.23250,,,2.415169138,5.185407033
0.23300,,,2.109974731,5.490601441
0.23350,,,2.415169138,3.964629402
0.23400,,,3.330752362,2.743851771
0.23450,,,4.246335585,2.743851771
0.23500,,,4.8567244,3.964629402
0.23550,,,5.161918808,4.575018218
0.23600,,,5.772307623,4.575018218
0.23650,,,6.993085254,4.880212625
0.23700,,,7.603474069,6.711379072
0.23750,,,6.382696439,8.542545518
0.23800,,,4.246335585,8.847739925
0.23850,,,3.635946769,8.23735111
0.23900,,,4.551529992,7.932156702
0.23950,,,5.161918808,7.932156702
0.24000,,,3.941141177,6.406184664
0.24050,,,2.415169138,3.964629402
0.24100,,,1.804780323,2.133462956
0.24150,,,1.804780323,2.438657364
0.24200,,,1.499585915,3.659434994
0.24250,,,-0.0263861232,3.964629402
0.24300,,,-1.857552569,3.049046179
0.24350,,,-3.688719016,2.133462956
0.24400,,,-3.993913423,2.438657364
0.24450,,,-3.0783302,3.049046179
0.24500,,,-1.247163754,3.354240587
0.24550,,,-0.0263861232,3.049046179
0.24600,,,-0.0263861232,3.354240587
0.24650,,,-0.9419693463,3.354240587
0.24700,,,-2.162746977,3.354240587
0.24750,,,-2.467941385,3.049046179
0.24800,,,-1.552358162,3.354240587
0.24850,,,-1.247163754,3.964629402
0.24900,,,-1.552358162,4.575018218
0.24950,,,-1.857552569,4.880212625
0.25000,,,-0.6367749386,5.490601441
0.25050,,,0.2788082845,5.795795848
0.25100,,,0.5840026922,5.490601441
0.25150,,,-0.0263861232,4.575018218
0.25200,,,-0.3315805309,3.964629402
0.25250,,,-0.3315805309,3.964629402
0.25300,,,-0.6367749386,3.964629402
0.25350,,,-2.162746977,3.964629402
0.25400,,,-3.383524608,3.964629402
0.25450,,,-4.299107831,3.964629402
0.25500,,,-4.604302239,4.26982381
0.25550,,,-3.993913423,4.880212625
0.25600,,,-1.857552569,4.575018218
0.25650,,,0.5840026922,3.964629402
0.25700,,,2.109974731,3.659434994
0.25750,,,1.194391508,3.964629402
0.25800,,,0.2788082845,5.490601441
0.25850,,,0.8891970999,6.406184664
0.25900,,,2.720363546,5.795795848
0.25950,,,3.025557954,4.575018218
0.26000,,,2.109974731,4.575018218
0.26050,,,0.2788082845,4.880212625
0.26100,,,-0.9419693463,4.880212625
0.26150,,,-1.857552569,3.964629402
0.26200,,,-1.247163754,3.049046179
0.26250,,,1.194391508,3.354240587
0.26300,,,4.246335585,4.26982381
0.26350,,,5.772307623,5.185407033
0.26400,,,6.382696439,4.880212625
0.26450,,,6.687890846,4.575018218
0.26500,,,6.382696439,4.26982381
0.26550,,,4.246335585,3.964629402
0.26600,,,-0.0263861232,3.659434994
0.26650,,,-3.383524608,3.354240587
0.26700,,,-3.688719016,3.354240587
0.26750,,,-1.552358162,3.964629402
0.26800,,,0.2788082845,3.964629402
0.26850,,,1.499585915,3.659434994
0.26900,,,2.109974731,3.354240587
0.26950,,,2.415169138,3.964629402
0.27000,,,1.194391508,3.964629402
0.27050,,,-0.3315805309,3.964629402
0.27100,,,-0.9419693463,3.659434994
0.27150,,,-0.0263861232,3.964629402
0.27200,,,-0.0263861232,3.659434994
0.27250,,,-2.773135793,2.133462956
0.27300,,,-6.435468685,0.6074909175
0.27350,,,-7.351051908,0.3022965098
0.27400,,,-4.909496646,1.523074141
0.27450,,,-1.857552569,2.133462956
0.27500,,,-1.247163754,2.133462956
0.27550,,,-3.0783302,2.743851771
0.27600,,,-4.909496646,3.659434994
0.27650,,,-4.299107831,3.964629402
0.27700,,,-2.162746977,2.743851771
0.27750,,,-0.6367749386,1.828268548
0.27800,,,-0.0263861232,1.828268548
0.27850,,,0.2788082845,2.438657364
0.27900,,,1.499585915,2.438657364
0.27950,,,2.720363546,2.133462956
0.28000,,,3.025557954,3.049046179
0.28050,,,3.330752362,3.964629402
0.28100,,,3.941141177,4.575018218
0.28150,,,4.246335585,3.964629402
0.28200,,,3.941141177,3.049046179
0.28250,,,3.941141177,3.659434994
0.28300,,,4.8567244,4.880212625
0.28350,,,6.687890846,5.185407033
0.28400,,,7.603474069,4.26982381
0.28450,,,6.077502031,3.049046179
0.28500,,,3.330752362,2.133462956
0.28550,,,0.5840026922,2.438657364
0.28600,,,-1.552358162,3.049046179
0.28650,,,-3.383524608,3.049046179
0.28700,,,-4.909496646,3.049046179
0.28750,,,-5.214691054,3.049046179
0.28800,,,-4.299107831,3.049046179
0.28850,,,-1.857552569,3.049046179
0.28900,,,1.194391508,3.049046179
0.28950,,,3.025557954,3.964629402
0.29000,,,1.804780323,4.575018218
0.29050,,,-0.0263861232,3.964629402
0.29100,,,-1.247163754,3.049046179
0.29150,,,-1.552358162,2.743851771
0.29200,,,-2.467941385,3.659434994
0.29250,,,-3.993913423,4.26982381
0.29300,,,-3.688719016,3.964629402
0.29350,,,-1.552358162,3.049046179
0.29400,,,-0.0263861232,2.743851771
0.29450,,,-0.0263861232,2.438657364
0.29500,,,-0.0263861232,1.828268548
0.29550,,,0.5840026922,1.828268548
0.29600,,,0.2788082845,2.438657364
0.29650,,,-1.857552569,3.049046179
0.29700,,,-4.604302239,2.133462956
0.29750,,,-5.519885462,0.9126853252
0.29800,,,-5.519885462,1.217879733
0.29850,,,-5.82507987,2.133462956
0.29900,,,-6.435468685,3.354240587
0.29950,,,-6.435468685,3.354240587
0.30000,,,-4.299107831,2.743851771
0.30050,,,-1.247163754,2.133462956
0.30100,,,0.2788082845,3.049046179
0.30150,,,0.2788082845,4.26982381
0.30200,,,-0.0263861232,4.880212625
0.30250,,,-0.0263861232,3.964629402
0.30300,,,0.5840026922,3.964629402
0.30350,,,0.5840026922,4.880212625
0.30400,,,0.2788082845,7.016573479
0.30450,,,-0.0263861232,7.016573479
0.30500,,,0.2788082845,5.185407033
0.30550,,,-0.3315805309,4.26982381
0.30600,,,-3.688719016,4.880212625
0.30650,,,-6.740663093,4.880212625
0.30700,,,-6.435468685,3.659434994
0.30750,,,-2.773135793,2.438657364
0.30800,,,0.8891970999,3.659434994
0.30850,,,3.330752362,4.880212625
0.30900,,,3.025557954,4.26982381
0.30950,,,0.8891970999,3.049046179
0.31000,,,-2.162746977,2.743851771
0.31050,,,-4.909496646,3.964629402
0.31100,,,-5.519885462,4.26982381
0.31150,,,-4.604302239,3.354240587
0.31200,,,-2.773135793,2.438657364
0.31250,,,-0.0263861232,2.743851771
0.31300,,,2.109974731,3.049046179
0.31350,,,2.720363546,2.133462956
0.31400,,,1.499585915,1.523074141
0.31450,,,0.5840026922,2.743851771
0.31500,,,1.804780323,3.964629402
0.31550,,,3.941141177,4.575018218
0.31600,,,4.551529992,3.964629402
0.31650,,,3.330752362,3.049046179
0.31700,,,1.804780323,3.049046179
0.31750,,,-0.0263861232,2.133462956
0.31800,,,-1.552358162,1.217879733
0.31850,,,-2.162746977,0.9126853252
0.31900,,,-0.9419693463,2.133462956
0.31950,,,-0.0263861232,3.354240587
0.32000,,,-0.0263861232,3.659434994
0.32050,,,-1.857552569,3.659434994
0.32100,,,-3.383524608,3.964629402
0.32150,,,-4.299107831,4.575018218
0.32200,,,-4.909496646,4.880212625
